Date-Time	Station_ID	CBOD	DO	FLOW	NH3	NOX	NP RATIO	ORGN	ORGP	PO4	TKN	TN	TP	TSS	WTEMP
12/31/2013 00:00	TN0020460	2.97000	8.41000	0.01232	0.02410	2.59562	0.90001	0.18530	1.34017	1.77650	0.20940	2.80502	3.11667	10.80000	15.00000
01/01/2014 00:00	TN0020460	2.91000	8.33000	0.00967	0.01770	1.90633	0.66100	0.13609	1.34017	1.77650	0.15379	2.06012	3.11667	10.80000	15.00000
01/31/2014 00:00	TN0020460	2.91000	8.33000	0.00967	0.01770	1.90633	0.66100	0.13609	1.34017	1.77650	0.15379	2.06012	3.11667	10.80000	15.00000
02/01/2014 00:00	TN0020460	2.80000	7.41000	0.01147	0.02700	2.90796	1.00831	0.20760	1.34017	1.77650	0.23460	3.14255	3.11667	12.36000	15.00000
02/28/2014 00:00	TN0020460	2.80000	7.41000	0.01147	0.02700	2.90796	1.00831	0.20760	1.34017	1.77650	0.23460	3.14255	3.11667	12.36000	15.00000
03/01/2014 00:00	TN0020460	2.83000	8.09000	0.01073	0.02270	2.44484	0.84772	0.17453	1.34017	1.77650	0.19723	2.64207	3.11667	14.00000	15.00000
03/31/2014 00:00	TN0020460	2.83000	8.09000	0.01073	0.02270	2.44484	0.84772	0.17453	1.34017	1.77650	0.19723	2.64207	3.11667	14.00000	15.00000
04/01/2014 00:00	TN0020460	2.89000	7.44000	0.01398	0.02500	2.69255	0.93362	0.19222	1.34017	1.77650	0.21722	2.90977	3.11667	14.14000	25.00000
04/30/2014 00:00	TN0020460	2.89000	7.44000	0.01398	0.02500	2.69255	0.93362	0.19222	1.34017	1.77650	0.21722	2.90977	3.11667	14.14000	25.00000
05/01/2014 00:00	TN0020460	2.89500	7.76500	0.01461	0.02760	2.97258	1.03071	0.21221	1.34017	1.77650	0.23981	3.21239	3.11667	14.57000	25.00000
05/31/2014 00:00	TN0020460	2.89500	7.76500	0.01461	0.02760	2.97258	1.03071	0.21221	1.34017	1.77650	0.23981	3.21239	3.11667	14.57000	25.00000
06/01/2014 00:00	TN0020460	2.90000	8.09000	0.01524	0.03020	3.25261	1.12781	0.23220	1.34017	1.77650	0.26240	3.51501	3.11667	15.00000	25.00000
06/30/2014 00:00	TN0020460	2.90000	8.09000	0.01524	0.03020	3.25261	1.12781	0.23220	1.34017	1.77650	0.26240	3.51501	3.11667	15.00000	25.00000
07/01/2014 00:00	TN0020460	3.07000	8.23000	0.00782	0.02790	3.00489	1.04192	0.21452	1.34017	1.77650	0.24242	3.24731	3.11667	13.60000	25.00000
07/31/2014 00:00	TN0020460	3.07000	8.23000	0.00782	0.02790	3.00489	1.04192	0.21452	1.34017	1.77650	0.24242	3.24731	3.11667	13.60000	25.00000
