Sample,DO,Cond,ph,Temp,Turb
333,8.74,443,7.91,20.53,11.9
334,9.25,445,7.92,20.64,12.5
335,9.37,446,7.93,20.74,12.6
336,9.5,447,7.95,20.87,12
337,9.6,448,7.95,20.97,12.2
338,9.68,449,7.97,21.09,12.3
339,9.65,451,7.97,21.19,12.6
340,9.7,452,7.97,21.3,12.3
341,9.7,453,7.97,21.29,13.1
342,9.52,455,7.96,21.2,12.6
343,9.37,456,7.95,21.13,12.2
344,8.97,457,14,21.13,11.3
345,8.81,459,14,21.15,1.8
346,9.18,459,14,21.19,#DIV/0!
347,9.15,460,14,21.23,0.8
348,9.08,461,14,21.26,#DIV/0!
349,8.76,462,14,21.29,0
350,8.53,463,14,21.31,#DIV/0!
351,8.92,464,14,21.33,4.7
352,8.88,465,14,21.35,#DIV/0!
353,8.8,466,14,21.36,#DIV/0!
354,8.73,467,14,21.38,6.4
355,8.64,468,14,21.37,6.5
356,8.65,468,14,21.34,#DIV/0!
357,8.59,469,14,21.32,#DIV/0!
358,8.53,468,14,21.3,#DIV/0!
359,8.46,468,14,21.27,3.3
360,8.36,468,14,21.24,7.2
361,8.08,469,14,21.21,#DIV/0!
362,8.02,469,14,21.18,1.4
363,8.14,470,14,21.15,#DIV/0!
364,8.08,471,14,21.12,5.6
365,8,471,14,21.1,6.2
366,7.64,472,14,21.06,4.3
367,7.48,469,14,21.01,8.3
368,7.93,469,14,20.97,4.5
369,7.89,470,14,20.94,3.7
370,7.84,470,12.9,20.9,4.2
371,7.77,471,12.18,20.87,2.5
372,7.7,472,11.2,20.85,7.3
373,7.72,473,11.18,20.83,11.3
374,7.72,474,14,20.82,5.5
375,7.74,475,14,20.82,#DIV/0!
376,7.78,476,14,20.83,4.2
377,7.84,477,14,20.85,10.3
378,7.66,478,14,20.86,1.5
379,7.65,478,14,20.88,12.1
380,8.12,479,14,20.96,7.4
381,8.32,480,14,21.05,6.6
382,8.37,480,14,21.07,1.2
383,8.09,482,14,21.08,10.9
384,7.88,483,14,21.06,12.7
385,8.42,484,14,21.05,13
386,8.42,484,14,21.03,13.1
387,8.4,485,14,21.03,12.7
388,9.46,458,14,21.2,-0.4
389,7.72,548,6.74,20.31,13.1
390,7.57,545,7.8,20.49,3
391,8.02,543,7.82,20.73,9.1
392,8.2,542,7.95,20.97,10.6
393,8.44,541,9.05,21.32,5
394,8.58,540,8.84,21.51,8.9
395,8.69,539,8.73,21.77,9.8
396,8.02,537,8.5,21.82,8.1
397,7.67,536,8.12,21.83,8.9
398,8.52,535,8.07,21.67,8.6
399,8.45,532,8.17,21.53,6
400,8.29,530,8.15,21.39,5.2
401,8.08,529,8.06,21.28,6.2
402,7.97,526,8.02,21.15,3.7
403,8.01,524,7.99,21.11,11.8
404,7.98,522,7.99,21.11,8.1
405,7.94,519,8.18,21.13,11.4
406,7.93,517,8.07,21.14,5.3
407,7.92,514,8.15,21.17,8.5
408,7.44,511,8.16,21.19,2.9
409,7.31,508,8.16,21.23,5.4
410,7.89,505,8.41,21.27,7.2
411,7.9,502,8.28,21.29,6.5
412,7.85,500,8.17,21.3,5.6
413,7.8,497,8.17,21.3,6.3
414,7.75,495,8.27,21.3,4.5
415,7.78,492,8.12,21.28,1.7
416,7.74,491,8.15,21.23,2
417,7.69,489,8.09,21.19,9.2
418,7.65,488,8.01,21.16,5.1
419,9.46,537,7.91,22.46,8
420,9.4,536,7.92,22.4,8.5
421,9.2,536,7.92,22.29,8.7
422,8.55,537,7.9,22.11,8.9
423,8.17,537,7.89,22.05,8.7
424,8.49,537,7.89,22.02,9
425,8.37,537,7.88,22,8.4
426,8.22,537,7.87,21.99,7.7
427,8.11,538,7.86,21.98,7.2
428,7.97,538,7.85,21.96,6.8
429,7.76,538,7.85,21.94,6.7
430,7.66,538,7.84,21.92,6.7
431,7.81,538,7.84,21.91,6.4
432,7.8,538,7.83,21.9,6.8
433,7.74,538,7.83,21.91,7
434,7.37,538,7.83,21.92,7
435,7.13,538,7.83,21.94,6.5
436,7.68,538,7.83,21.94,7
437,7.7,538,7.84,21.95,7
438,7.66,538,7.83,21.95,7.3
439,7.64,539,7.83,21.96,7
440,7.58,538,7.83,21.96,7.4
441,7.37,539,7.82,21.96,7.6
442,7.32,538,7.82,21.94,7.3
443,7.43,538,7.82,21.92,6.8
444,7.4,538,7.82,21.88,7.3
445,7.32,539,7.81,21.85,7.6
446,7.19,539,7.81,21.81,7
447,7.06,539,7.8,21.78,7.8
448,7.13,539,7.79,21.73,8.3
449,7.07,539,7.79,21.7,8.1
450,7.01,539,7.78,21.67,9
451,6.96,538,7.78,21.64,8.1
452,6.94,539,7.78,21.63,9
453,6.78,539,7.77,21.63,8.4
454,6.8,539,7.78,21.67,8.7
455,7.11,538,7.78,21.72,8.7
456,7.31,538,7.79,21.79,8.6
457,7.46,538,7.8,21.86,8.9
458,7.62,538,7.81,21.93,8.3
459,7.8,538,7.82,22.02,8.3
460,8.03,537,7.84,22.1,8.9
461,8.19,537,7.85,22.18,10.9
462,8.35,537,7.86,22.26,8.9
